facility_name,total_providers,avg_years_experience,total_service_charge,total_insurance_paid
Cardiology Specialty Center,48,16.8125,276658.83,222139.04
City General Hospital,49,22.183673469387756,295508.13,236798.5
Community Health Clinic,48,17.208333333333332,334992.21,269207.92
Emergency Medical Center,48,23.083333333333332,310735.25,248439.2
Northside Urgent Care,42,21.095238095238095,297283.06,236839.71
Oncology Treatment Center,62,18.596774193548388,334927.3,267183.95
Pediatric Care Center,41,20.48780487804878,361811.04,291790.95
Primary Care Clinic,44,19.363636363636363,323315.71,260297.44
Regional Medical Center,48,17.979166666666668,316284.98,251750.43
Surgical Specialty Center,46,16.67391304347826,349909.18,278503.38
